id,question_text
Q1,Chocolate ice cream is better than vanilla ice cream
Q2,Star Wars is better than Star Trek
Q3_1,Orange (Which of the following colors are acceptable wall colors for the office?)
Q3_2,Blue (Which of the following colors are acceptable wall colors for the office?)
Q3_3,Red (Which of the following colors are acceptable wall colors for the office?)
Q3_4,Purple (Which of the following colors are acceptable wall colors for the office?)
Q3_5,Pink (Which of the following colors are acceptable wall colors for the office?)
Q3_6,Don't know / Not sure (Which of the following colors are acceptable wall colors for the office?)
Q4,Unicorns are real
Q5,We are living in a simulation
Sex,What is your sex?
